,Hebei,Henan,Shandong,Tianjin,Anhui,Jiangsu,Shanxi,Sichuan,Guangdong,Inner Mongolia,Shanghai,Hubei,Liaoning,Shaanxi,Zhejiang,Hainan,Hunan,Heilongjiang,Jiangxi,Gansu,Jilin,Chongqing,Fujian,Yunnan,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.01676066256,0.04931671392,0.02562363072,0.01070576352,0.0214992792,0.0280806912,0.017023919040000002,0.07362406224000001,0.16321901760000002,0.011583285120000002,0.03755792448,0.032819307840000006,0.0100914984,0.021236022719999997,0.02615014368,,0.054143082720000006,0.02027074896,0.030098990880000006,0.011495532959999999,0.011934293759999999,0.036768155040000014,0.017550432,0.020446253280000003,0.03352132512,0.0495799704,0.0083364552,0.0018427953600000002,0.0030713255999999995,0.00017550432,0.03132752112
Chongqing,0.011433182399999995,0.05740917119999999,0.028704585599999995,0.005351702399999999,0.023352883199999997,0.0433001376,0.015811848,1.1620491984,0.0980334576,0.0058382207999999975,0.0304074,0.16590277439999998,0.005108443199999999,0.049138358399999985,0.045975988799999985,0.0216500688,0.08562723839999999,0.0038921472,0.026758512,0.020677032,0.0034056288000000002,,0.0301641408,0.0880598304,0.31380436799999994,0.034299547199999995,0.016541625600000002,0.0068112576000000005,0.007541035199999998,0.005108443199999999,0.016298366399999997
Sichuan,0.0220984848,0.09439209936,0.04861666656000001,0.0094707792,0.03851450208,0.06661114704,0.024939718560000004,,0.1546893936,0.01452186144,0.05082651504,0.07892316,0.01294339824,0.16037186112,0.06124437216000001,0.03883019472,0.054299134080000006,0.00883939392,0.035041883040000006,0.08713116864,0.00883939392,1.07935313616,0.03662034624,0.4959531374400001,0.29359415520000004,0.03977727264,0.028728030240000008,0.0094707792,0.025571103840000005,0.03220064928,0.03946158
Guizhou,0.0036237326399999998,0.029319291360000003,0.01416550032,0.00131772096,0.013341924720000002,0.02355426216,0.00312958728,0.28050984936,0.10278223488,0.0016471512,0.012683064240000002,0.030966442559999995,0.00197658144,0.015318506159999998,0.040684634639999995,0.00807104088,0.19090482408,0.0016471512,0.02767214016,0.00395316288,0.00131772096,0.2586027384,0.02437783776,0.39498685776000003,,0.14774946264,0.00098829072,0.00131772096,0.0008235756,0.00032943024,0.0065886048
Yunnan,0.010696672079999999,0.04787199144000001,0.024023673360000004,0.005611368960000001,0.018587659680000004,0.031037884560000006,0.009995250959999999,0.5178241418399999,0.08574873192000003,0.005436013680000001,0.028407555360000013,0.042786688319999995,0.0061374348,0.02419902864,0.038402806319999996,0.010696672079999999,0.07049282256,0.005611368960000001,0.031914660960000014,0.009293829840000002,0.0031563950400000005,0.11380557672,0.02788148952000001,,0.44049246336000014,0.11257808976,0.005611368960000001,0.00210426336,0.00210426336,0.0047345925600000005,0.013853067120000005
Tibet,0.001214109,0.010609444799999998,0.0022601106,0.0002241432,0.0020920032,0.0022227534,0.0010646801999999998,0.08166283919999999,0.0023908608,0.00028017900000000003,0.0006724295999999999,0.0033247908,0.0005790365999999999,0.0091898712,0.0014569307999999998,0.0004482863999999999,0.0027457542,0.0004856436,0.0008031798,0.009451371600000001,0.00011207159999999998,0.0108522666,0.0006724295999999999,0.009582121800000001,0.0010646801999999998,0.0005416793999999999,0.0014756094,0.0004482863999999999,0.027924506999999998,,0.0006350724
Shaanxi,0.03180288096,0.26593066908,0.07887951396000001,0.009206097120000001,0.04979661624,0.06967341683999999,0.30401043444000003,0.21153100428,0.051470452080000006,0.19542033432,0.026362914480000003,0.1035685926,0.00962455608,,0.03326748732,0.011298391920000001,0.028455209280000004,0.00669534336,0.02155063644,0.28810899395999995,0.0058584254399999995,0.04854123936,0.022596783840000002,0.01611066996,0.01631989944,0.009206097120000001,0.023852160719999998,0.09227020068,0.023224472280000002,0.0031384421999999996,0.030965963039999995
Gansu,0.0064094004,0.04654210752,0.019819838159999995,0.004042852559999999,0.01055085912,0.025144570800000002,0.00946619136,0.07927935263999998,0.01804492728,0.049105867680000005,0.01114249608,0.0182421396,0.00207072936,0.26988505992,0.01390346856,0.0043386710399999995,0.00848012976,0.0012818800800000001,0.00650800656,,0.00167630472,0.010255040640000001,0.00660661272,0.0076912804800000015,0.00483170184,0.0024651539999999998,0.04417555968,0.13420298375999998,0.1548116712,0.00266236632,0.0108466776
Qinghai,0.0030128112,0.0245328912,0.005666954399999999,0.0012553379999999995,0.0063842904,0.0077113619999999985,0.0033356124,0.032710521599999993,0.0053082864,0.0028693440000000002,0.0019368072,0.006850558799999999,0.00039453480000000004,0.0241024896,0.0044474832,0.0017574732000000001,0.0046985508,0.000538002,0.0023672088000000003,0.1639471428,0.00017933400000000001,0.0034790796,0.0020444076,0.0018292068,0.0012194712,0.0007532028,0.0192604716,0.0063484236,,0.0163911276,0.0027617436
Ningxia,0.0041023584000000005,0.01876828968,0.011435324040000002,0.0015383844,0.005230506960000001,0.0084611142,0.007486804079999999,0.01010205756,0.0061022581200000005,0.13912122924,0.0043587558,0.00497410956,0.0012307075199999998,0.09235434347999999,0.00594841968,0.0019998997199999996,0.0023075766,0.00112814856,0.0030767688,0.15368460156,0.0008717511599999999,0.0033331662000000003,0.0021537381600000003,0.00092303064,0.00133326648,0.00184606128,0.00497410956,,0.007897039920000001,0.00025639740000000003,0.00502538904
Xinjiang,0.00533778336,0.055174203000000005,0.020478611160000004,0.0017963694,0.011137490279999999,0.01544877684,0.006466929840000001,0.048809922840000006,0.010778216400000002,0.00841727376,0.008930522159999999,0.01201001256,0.0024122674800000003,0.046295005680000015,0.011650738680000002,0.005748382080000001,0.01005966864,0.00148842036,0.0046192356,0.12774752675999998,0.00210431844,0.016423948799999998,0.005235133680000001,0.004978509480000001,0.0030281655600000006,0.00210431844,,0.007082827920000001,0.038544954840000006,0.0008211974400000003,0.01734779592
Taiwan,,,6.472224e-05,3.236112e-05,,3.236112e-05,,9.708335999999998e-05,0.00012958703999999994,,0.00035639999999999994,,,,9.708335999999998e-05,6.472224e-05,,,,,,,0.00042112223999999987,,,,,,,,6.472224e-05
Hong Kong,3.131784e-05,3.131784e-05,,,,3.131784e-05,,,0.0161025894,,0.0002261844,3.131784e-05,,,3.131784e-05,3.131784e-05,,,3.131784e-05,6.437555999999999e-05,,,0.0004523688,,3.131784e-05,9.56934e-05,,,,,9.56934e-05
Macau,0.00015070535999999995,0.0006375996000000001,0.00041733792,0.00025503984,0.00022026168,0.0022953585600000003,0.00038255976000000003,0.0007071559199999999,0.09950031576,2.318544e-05,0.0031068489600000002,0.00099697392,5.79636e-05,0.00012751992,0.0013911264,9.274176e-05,0.00096219576,,0.00012751992,,9.274176e-05,0.00015070535999999995,0.00093901032,0.00025503984,0.00022026168,0.00099697392,2.318544e-05,2.318544e-05,,,0.0015534244800000001
