,Hebei,Tianjin,Henan,Shandong,Shanxi,Inner Mongolia,Heilongjiang,Jiangsu,Anhui,Liaoning,Guangdong,Sichuan,Shaanxi,Hubei,Hainan,Jilin,Hunan,Zhejiang,Shanghai,Gansu,Jiangxi,Yunnan,Fujian,Chongqing,Guizhou,Guangxi,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.02871463932,0.012713351759999998,0.031856444639999995,0.025865094959999998,0.019508419080000002,0.00942541596,0.01892389716,0.032075640360000005,0.01117898172,0.012274960319999998,0.15577509168,0.034998249960000005,0.017974049040000002,0.01980068004,,0.011544307920000002,0.03697101144,0.02498831208,0.0354366414,0.00555295824,0.015928222319999998,0.0157090266,0.014028526080000001,0.021627311040000003,0.02023907148,0.0358019676,0.005406827760000001,0.00226502244,0.0015343700399999998,,0.050415015599999995
Chongqing,0.01919686392,0.006485426999999999,0.03787489368,0.022569285959999998,0.010895517359999995,0.004669507439999999,0.0033724220399999998,0.0376154766,0.019456280999999995,0.00285358788,0.10402624907999998,1.44339663312,0.04643565731999999,0.17796011688000002,0.02646054216,0.0025941708,0.07730628983999999,0.044619737759999986,0.02879529588,0.01141435152,0.015046190639999997,0.07108027991999999,0.030092381279999993,,0.29054712959999995,0.02230986888,0.00570717576,0.0033724220399999998,0.0025941708,0.0044100903600000005,0.016083858959999996
Sichuan,0.0344833524,0.008538734880000001,0.06666781463999999,0.04105161,0.02528779176,0.008210321999999999,0.008538734880000001,0.05057558352,0.02397414024,0.009523973520000001,0.1362913452,,0.20098868256,0.05385971232,0.043678913039999996,0.00591143184,0.042693674400000006,0.05484495096,0.03382652664,0.06633940176,0.01871953416,0.46536105096,0.03218446224,1.44074730456,0.28276348968000004,0.0344833524,0.01018079928,0.0065682576,0.02167525008,0.02397414024,0.02692985616
Guizhou,0.01073286288,0.00222059232,0.02609195976,0.0148039488,0.00536643144,0.00222059232,0.0025906910400000003,0.03219858864,0.012953455199999998,0.0025906910400000003,0.18634470552,0.29126769264,0.02109562704,0.02923779888,0.017949787919999998,0.0018504936,0.20521974024,0.07661043504000001,0.017209590480000002,0.00425613528,0.025721861040000002,0.35492467248000004,0.03663977328,0.30070521,,0.15285077136,0.00111029616,0.00111029616,0.0009252468,0.00055514808,0.008697319919999998
Yunnan,0.02443726908,0.006374939759999999,0.03521395296,0.0273211704,0.01123203672,0.0045535284,0.006374939759999999,0.03733893288,0.01396415376,0.005919586920000001,0.10412401607999999,0.43622802072,0.02868722892,0.02868722892,0.01608913368,0.00440174412,0.05039238096,0.04052640276,0.02899079748,0.00667850832,0.01791054504,,0.02458905336,0.07786533563999999,0.34363960992000003,0.09850799772,0.00364282272,0.00273211704,0.0022767642,0.00485709696,0.02079444636
Tibet,0.00199800432,0.0004402382399999999,0.0075687112799999985,0.00260756496,0.0020318688,0.00015239015999999998,0.00028784807999999995,0.0020657332799999995,0.00149003712,0.00037250928,0.0029123452799999995,0.06275088143999999,0.0112599396,0.00231971688,0.00047410272000000006,0.00035557703999999994,0.0022858524,0.0012191212799999998,0.0005756961599999999,0.00954978336,0.0006772896000000001,0.010938227040000002,0.00074501856,0.011361533039999998,0.0017778852,0.0008296797599999999,0.0011175278399999998,0.0005079672,0.02697305832,,0.0013884436799999995
Shaanxi,0.07289291736,0.01257577488,0.2757355084800001,0.07452311040000001,0.3567793910400001,0.21006201744000005,0.01071269712,0.07824926592,0.0442480968,0.01001404296,0.06846810767999999,0.18793796904000004,,0.09455119632000002,0.024685780320000003,0.00652077216,0.030973667760000007,0.04028905656,0.02724751224,0.33605265096000003,0.018165008160000003,0.026781742799999998,0.0186307776,0.04867290648,0.02026097064,0.017932123440000003,0.023521356719999997,0.11830543775999999,0.028179051120000007,0.01071269712,0.031206552480000007
Gansu,0.015400990080000001,0.005679797760000001,0.03757404672,0.016602485759999997,0.012888771840000002,0.03888476928,0.00185685696,0.029600484480000005,0.009611965440000002,0.00262144512,0.0196608384,0.0797356224,0.38655392831999996,0.0152917632,0.00742742784,0.0015291763200000002,0.00797356224,0.01376258688,0.01234263744,,0.004041394560000001,0.00633515904,0.00578902464,0.01321645248,0.0043690752,0.00458752896,0.03746481984,0.14002886016000002,0.14374257408,0.0028398988800000004,0.01267031808
Qinghai,0.005833840320000001,0.0016615368000000002,0.018756904319999997,0.0074584540799999995,0.00402461136,0.0026215358399999996,0.0006276916800000001,0.007606146240000001,0.0031753814399999997,0.00070153776,0.005759994240000001,0.0278768952,0.0330461208,0.0047999952000000005,0.0026215358399999996,0.0005169225600000001,0.00269538192,0.0040615344000000005,0.0033230736000000004,0.1811075112,0.0012553833600000002,0.00254768976,0.0019199980800000001,0.00509537952,0.0010338451200000002,0.0007753838399999999,0.013292294400000002,0.0074584540799999995,,0.01428921648,0.00269538192
Ningxia,0.013711420800000002,0.0022153824000000003,0.019160063999999997,0.0099991584,0.011915164800000004,0.1545977664,0.0018561311999999999,0.0099392832,0.005568393600000002,0.0022153824000000003,0.006885648,0.008981280000000001,0.123941664,0.006227020799999999,0.0022752576000000004,0.0016765056000000006,0.0043708896,0.0064665216000000005,0.004071513600000001,0.1570526496,0.0022752576000000004,0.004550515200000001,0.0028740096,0.0068257728,0.0036523871999999996,0.0027542592000000003,0.0052091424,,0.009340531200000002,0.00041912640000000016,0.006586272000000002
Xinjiang,0.01459667304,0.005585222159999999,0.05355242423999999,0.01961867952,0.00722793456,0.0089175816,0.00272220912,0.01567616976,0.008448235200000001,0.00295688232,0.01065416328,0.0349663068,0.04486951584,0.008823712319999998,0.0077442156000000015,0.0018773856,0.01074803256,0.0089175816,0.005444418239999999,0.11222072424,0.0020651241600000004,0.0056321568,0.0046934640000000005,0.0183045096,0.0030507515999999998,0.00225286272,,0.00887064696,0.02515696704,0.0007978888799999999,0.01210913712
Taiwan,6.443064000000001e-05,3.201768000000001e-05,9.68436e-05,0.00029132136,3.201768000000001e-05,6.443064000000001e-05,3.201768000000001e-05,3.201768000000001e-05,,9.68436e-05,0.00022649544000000004,0.00012925656,,3.201768000000001e-05,,6.443064000000001e-05,,0.00038856024,0.000583038,3.201768000000001e-05,,9.68436e-05,0.00106883712,9.68436e-05,,,9.68436e-05,,,,0.00029132136
Hong Kong,,,3.0358799999999995e-05,,,3.0358799999999995e-05,,3.0358799999999995e-05,3.0358799999999995e-05,3.0358799999999995e-05,0.027732763799999997,,,6.375347999999999e-05,0.00019429632,6.375347999999999e-05,3.0358799999999995e-05,0.00012750695999999998,0.0008075440799999999,6.375347999999999e-05,,,0.00041895143999999985,,3.0358799999999995e-05,6.375347999999999e-05,,3.0358799999999995e-05,,,0.0003551979599999999
Macau,0.00193225824,0.00037083744,0.0009954057600000002,0.00083926368,0.0007611926400000001,0.00011710656000000001,7.807104000000001e-05,0.0046842624,0.0007611926400000001,0.00066360384,0.16082634240000002,0.00095637024,0.00050746176,0.00169804512,0.00040987296,0.00025373088,0.00193225824,0.00265441536,0.005328348480000001,5.8553280000000006e-05,0.00144431424,0.00050746176,0.0019712937600000003,0.00025373088,0.00037083744,0.00193225824,1.951776e-05,1.951776e-05,,,0.0024202022399999997
