,Hebei,Tianjin,Shandong,Henan,Liaoning,Inner Mongolia,Shanxi,Guangdong,Jiangsu,Heilongjiang,Anhui,Zhejiang,Shaanxi,Sichuan,Hubei,Shanghai,Jilin,Hunan,Gansu,Hainan,Chongqing,Fujian,Jiangxi,Yunnan,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.0157613202,0.007930224000000001,0.0189334098,0.028251423000000005,0.0092188854,0.006245051400000001,0.013481380800000005,0.3864992922000001,0.028945317600000006,0.012291847199999999,0.0125892306,0.027260145000000003,0.0191316654,0.043219720800000014,0.031423512599999995,0.0342982188,0.006542434800000001,0.04549966019999999,0.0038659842000000008,,0.035785135800000006,0.015563064600000003,0.016356087000000002,0.0159595758,0.069885099,0.029837467799999996,0.0017843004,0.002676450600000001,0.0010904058,9.912780000000003e-05,0.04896913320000002
Chongqing,0.03976640568,0.01613709216,0.05993777088,0.08990665632000001,0.01498444272,0.01498444272,0.03630845736,0.4120721748000001,0.10719639792000002,0.006339571920000001,0.050716575360000016,0.15157340136,0.22476664079999997,2.5237259488799997,0.4120721748000001,0.08933033160000001,0.0046105977600000006,0.22303766664000002,0.08644870800000001,0.035732132640000004,,0.08299075968,0.04783495176,0.2478196296,0.08875400688000001,0.5601876278400001,0.014408118,0.01498444272,0.017289741600000002,0.00922119552,0.07204059
Sichuan,0.07413908616,0.033320937599999996,0.09912978936000001,0.15494235984000002,0.02748977352,0.029988843839999998,0.08663443776,0.6197694393600001,0.15410933640000002,0.013328375040000002,0.0583116408,0.17160282864,0.67141689264,,0.19242841464000002,0.12745258632,0.00916325784,0.13828189104,0.36986240736,0.05081442984,3.1654890719999997,0.08996653152,0.047482336079999986,0.7913722679999999,0.12245444568,0.6347638612800001,0.04248419544,0.01915953912,0.08996653152,0.08080327368000001,0.14994421920000006
Guizhou,0.018831528,0.0071141328,0.0330597936,0.04017392639999999,0.0066956544,0.004184784,0.008788046400000001,0.7009513199999999,0.08369568,0.0066956544,0.024271747199999995,0.3167881488,0.04017392639999999,0.5189132160000001,0.0761630688,0.0569130624,0.0029293488000000003,0.3908588256,0.012135873599999998,0.0263641392,0.6063752015999999,0.11466308160000001,0.0719782848,0.6005165039999999,0.3657501216,,0.0033478272,0.0016739136,0.0029293488000000003,0.0012554351999999995,0.0326413152
Yunnan,0.018752653440000003,0.0083081376,0.02706079104,0.03821743296,0.0094950144,0.006409134720000001,0.00973238976,0.25090575552,0.047475072000000014,0.006883885440000001,0.016378899840000002,0.08806625856000001,0.031808298240000005,0.65420649216,0.037030556160000005,0.04130331264,0.004747507200000001,0.07311161088000001,0.011394017279999998,0.014717272319999999,0.16687487808,0.037030556160000005,0.025636538880000004,,0.18372852864,0.49825088064,0.0028485043199999996,0.0026111289600000004,0.0026111289600000004,0.012106143360000002,0.041778063360000006
Tibet,0.0021898058399999996,0.0010579960800000002,0.0031247791200000002,0.00472407552,0.00118101888,0.000615114,0.00076274136,0.0087346188,0.0049701211200000005,0.0010579960800000002,0.0019683648,0.004920912,0.015033386159999999,0.07952193792000001,0.0031985928000000004,0.005880489839999999,0.0008857641599999998,0.0032231973600000004,0.006889276799999999,0.00044288208,0.01591915032,0.00118101888,0.0008611595999999999,0.01714937832,0.00150087816,0.0024850605600000002,0.0044288208,0.00115641432,0.04320560736,,0.007332158879999999
Shaanxi,0.22563544032000005,0.05757192936000001,0.18899875800000004,0.6478295889600001,0.03314747448,0.4611569695200001,0.7344782503200001,0.18260187696000005,0.22040162856000006,0.01802757384,0.11863306656000006,0.11688846264000001,,0.5669962740000001,0.26517979584,0.10642083912000004,0.009886088880000005,0.08548559207999999,0.7356413196000001,0.0203537124,0.19248796584,0.034310543760000006,0.03605514768,0.038962820880000006,0.025005989520000004,0.038962820880000006,0.038962820880000006,0.24540761808000003,0.08083331496000001,0.005815346400000001,0.27506588472000004
Gansu,0.04019149368,0.030593525040000007,0.04259098584,0.08158273344000001,0.01169752428,0.12987251316,0.044690541480000005,0.047989843200000014,0.07768355868,0.00539885736,0.01829612772,0.04139123976,1.0095863263200002,0.25494604200000004,0.03269308068,0.046790097120000006,0.0047989843200000005,0.0209955564,,0.0056987938800000006,0.060287240519999986,0.017696254680000002,0.01139758776,0.01139758776,0.008398222560000002,0.01409701644,0.12537346536,0.31163404428,0.38331887255999997,0.006898539959999999,0.0959796864
Qinghai,0.008188199279999999,0.00291856608,0.011268907920000001,0.025294239359999998,0.00210785328,0.012566048400000002,0.008107128,0.010701408959999999,0.01167426432,0.0012160692,0.004458920400000001,0.0065667736800000005,0.07361272224000001,0.07490986272000001,0.008026056719999999,0.007863914159999999,0.00137821176,0.004945348079999999,0.41857101864,0.00178356816,0.014187474000000004,0.00218892456,0.00381035016,0.00381035016,0.00145928304,0.00235106712,0.0206731764,0.0198624636,,0.02967208848,0.015322471919999999
Ningxia,0.02220493176,0.007513790040000001,0.0190648404,0.02646648432,0.0033643836,0.23875908948,0.03241022868,0.016709771879999998,0.016485479639999998,0.00269150688,0.005943744359999999,0.010429589159999999,0.28462685256,0.02489643864,0.010429589159999999,0.01222392708,0.00235506852,0.007625936159999999,0.27778593924,0.0014578995599999998,0.008410958999999999,0.00314009136,0.0024672146399999997,0.00482228316,0.0016821918,0.002803653,0.008410958999999999,,0.02153205504,0.0005607305999999999,0.0426155256
Xinjiang,0.016299403199999996,0.007255863359999998,0.02192532624,0.04721569056,0.00588881664,0.01293436512,0.007939386719999999,0.01929639024,0.0189283392,0.0030495657599999997,0.008044544159999998,0.012776628959999998,0.04816210751999999,0.04237844832,0.008833224959999999,0.016509718080000003,0.002628936,0.008622910079999997,0.10894310783999996,0.0034176167999999995,0.016194245759999996,0.006624918719999999,0.0025237785599999995,0.005731080479999999,0.0024711998399999987,0.00241862112,,0.008728067519999999,0.029969870399999994,0.00199799136,0.02723577695999999
Taiwan,0.00012933755999999994,,0.00022649544,0.00012933755999999994,6.435936e-05,,,0.00019431576,0.00025867511999999994,6.435936e-05,3.217968e-05,9.715788e-05,3.217968e-05,0.00012933755999999994,3.217968e-05,0.0015873245999999998,3.217968e-05,,6.435936e-05,,6.435936e-05,0.00226742976,,3.217968e-05,3.217968e-05,,,,,3.217968e-05,0.00045299088
Hong Kong,3.15252e-05,,,3.15252e-05,3.15252e-05,,3.15252e-05,0.0209935314,,,3.15252e-05,,6.30504e-05,,,0.0003557844,3.15252e-05,9.68274e-05,6.30504e-05,0.0002904822,,0.00015987779999999998,,,,,,,,,6.30504e-05
Macau,0.00119088468,0.00126093672,0.0010507806,0.0008873258399999998,0.0013076380800000002,4.670136e-05,0.0003502602,0.19558529568,0.00389956356,0.00072387108,0.0007005204,0.00394626492,0.00079392312,0.00126093672,0.00378281016,0.00354930336,0.0005370656399999999,0.00212491188,0.00014010407999999998,0.0006071176799999999,0.00086397516,0.00203150916,0.00119088468,0.0001167534,0.0018680544,0.0009340272,0.0001167534,,,,0.00228836664
