,Hebei,Tianjin,Shandong,Henan,Shanxi,Liaoning,Guangdong,Inner Mongolia,Jiangsu,Anhui,Shaanxi,Sichuan,Zhejiang,Hunan,Heilongjiang,Shanghai,Gansu,Jilin,Jiangxi,Yunnan,Fujian,Hainan,Chongqing,Guizhou,Guangxi,Hubei,Ningxia,Qinghai,Xinjiang,Tibet,Beijing
Yunnan,0.012808044,0.0025616088,0.0204928704,0.0219871422,0.006404022,0.004269348,0.32383004579999997,0.0023481414000000003,0.0676691658,0.0162235224,0.0185716638,0.4610895840000001,0.2036478996,0.060624741600000004,0.0014942718000000002,0.022627544399999998,0.006190554599999999,0.0014942718000000002,0.024548751,,0.054007252199999994,0.006617489399999999,0.0546476544,0.5014349226,0.2147482044,0.0040558806,0.001067337,0.0014942718000000002,0.002134674,0.0036289458,0.008752163399999999
Tibet,0.00019189872,9.594936e-05,0.00035427456,0.0007122394800000001,9.594936e-05,0.00019189872,0.00029153843999999996,2.9522880000000007e-05,0.0005166503999999999,0.00022511196,0.00080818884,0.015193212119999999,0.00019189872,0.00042070104,,9.594936e-05,0.00204076908,6.273612000000001e-05,6.273612000000001e-05,0.0025574194800000003,6.273612000000001e-05,,0.00109972728,0.00022511196,6.273612000000001e-05,,9.594936e-05,0.010982511360000002,0.00015868548,,2.9522880000000007e-05
Shaanxi,0.05884129007999999,0.011691591839999998,0.06267459887999999,0.16023230783999998,0.30148973712,0.00824161392,0.1217075544,0.19914039216,0.12918250656,0.03603310272,,0.14815738512,0.10004935968,0.02165819472,0.0017249889599999998,0.03373311744,0.24360677424,0.00325831248,0.01379991168,0.02127486384,0.02357484912,0.005558297759999999,0.03277479024,0.0220415256,0.01034993376,0.01897487856,0.06114127535999999,0.02165819472,0.0114999264,0.0036416433600000003,0.025874834399999998
Gansu,0.0184763106,0.011421719280000001,0.02116377396,0.028778253479999995,0.01254149568,0.0030233962800000004,0.03829635288,0.056548708199999985,0.06505900883999999,0.00884623356,0.35452120823999994,0.056548708199999985,0.04803840756,0.005598882,0.0005598882,0.019036198799999998,,0.00078384348,0.00750250188,0.00425515032,0.0089582112,0.0013437316799999998,0.00884623356,0.00358328448,0.00369526212,0.0019036198800000002,0.11634476795999998,0.14960212703999998,0.042551503199999986,0.004703060879999999,0.015340936679999997
Qinghai,0.0019689804,0.00025135919999999995,0.0039798540000000006,0.0050481306,0.002618325,0.00031419900000000003,0.0029325239999999997,0.0031629365999999996,0.0032676696,0.0016757279999999998,0.0147254598,0.012882158999999999,0.0024507522,0.0016966746000000002,,0.0010263834,0.11912331419999997,,0.0018433007999999998,0.0006283980000000001,0.0006702911999999999,0.0001466262,0.0007959708000000001,0.00025135919999999995,0.0007121844000000001,0.00025135919999999995,0.0047548782,,0.004859611199999999,0.015835629599999998,0.0013196357999999998
Ningxia,0.0044793,0.0017200512,0.0046226376,0.0077760647999999995,0.0051601536,0.0005733504000000001,0.0044434656,0.0968962176,0.006020179200000001,0.0019350576,0.0708804432,0.0031534271999999995,0.0090661032,0.0016842167999999995,0.0002150064,0.0020067264000000005,0.114490908,0.0002508408000000001,0.0031175928,0.0016125479999999999,0.0033684335999999994,0.0006091848000000001,0.000716688,0.0006091848000000001,0.0010391976,0.000716688,,0.0051243192,0.0022217328,0.0002508408000000001,0.0029025864000000005
Xinjiang,0.0021985182000000005,0.0015518952000000007,0.005345416800000002,0.008679117600000001,0.0015087870000000006,0.0007041006,0.016553548799999998,0.006020778600000002,0.0049861817999999995,0.0015806340000000002,0.012558855600000002,0.0104609232,0.0038797380000000006,0.0027732942,0.00025864919999999997,0.003779152200000001,0.041527566,0.0003879738000000001,0.0009052722,0.0009914886,0.0012932460000000005,0.0006466230000000001,0.0023853204000000004,0.0008334252,0.0009914886,0.0006466230000000001,0.0017099586,0.0052735698,,0.00015806340000000004,0.0029026188000000003
Taiwan,9.552816e-05,3.184272e-05,0.00029113344,0.00016148807999999995,6.368544e-05,,0.00693261504,,0.00401673168,0.00025701624,6.368544e-05,0.00025701624,0.0012623364,0.00029113344,,0.00330254496,,,0.00016148807999999995,3.184272e-05,0.00395077176,3.184272e-05,0.00025701624,,0.00016148807999999995,9.552816e-05,,,3.184272e-05,,0.00038666160000000005
Hong Kong,3.019032e-05,6.0380639999999985e-05,3.019032e-05,0.000125793,,0.00016101503999999998,0.03777815376,,0.0004528548,3.019032e-05,,0.0005182671599999999,0.00032203007999999996,0.00025661772,,0.00100131228,3.019032e-05,6.0380639999999985e-05,3.019032e-05,9.560268e-05,0.00106672464,6.0380639999999985e-05,6.0380639999999985e-05,0.00016101503999999998,0.00032203007999999996,,,,3.019032e-05,6.0380639999999985e-05,0.0006440601599999999
Macau,0.00038682684,3.0339359999999997e-05,0.00025788456000000004,0.0004171662,0.00025788456000000004,9.101808000000001e-05,0.06298451136,,0.0006750507600000001,0.00034890263999999994,0.00038682684,0.00015928164,0.00070539012,0.0010315382400000002,0.00015928164,0.0006750507600000001,,6.0678719999999994e-05,0.00034890263999999994,0.00018962099999999998,0.00116048052,0.00028822392000000006,9.101808000000001e-05,0.00048542975999999995,0.0005764478400000001,3.0339359999999997e-05,,,,,0.00048542975999999995
