,Hebei,Henan,Tianjin,Shandong,Shanxi,Guangdong,Jiangsu,Inner Mongolia,Liaoning,Shanghai,Anhui,Heilongjiang,Shaanxi,Hubei,Sichuan,Zhejiang,Hainan,Hunan,Jilin,Fujian,Yunnan,Jiangxi,Gansu,Chongqing,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.03552323688,0.0403283124,0.013471372440000002,0.030803966280000008,0.01956352176,0.18019033199999998,0.03535162704,0.00832307724,0.022051864440000003,0.04015670256,0.01321395768,0.026256305520000002,0.022995718560000003,0.02308152348,0.041357971439999995,0.028144013760000003,,0.036038066400000006,0.0132997626,0.01793322828,0.01664615448,0.01664615448,0.006692783760000001,0.031404600719999995,0.04213021572000001,0.01879127748,0.00497668536,0.002745757440000001,0.00180190332,0.00025741476,0.06581237364
Chongqing,0.0244421712,0.045207201600000003,0.007354281600000002,0.026821497599999997,0.0138433536,0.1187500176,0.0503984592,0.004974955200000001,0.006705374399999999,0.035040988800000006,0.022928054399999998,0.0051912576,0.0521288784,0.15638663519999998,0.93550788,0.0514799712,0.0361225008,0.07830146880000001,0.0054075600000000005,0.0315801504,0.0754895376,0.0166552848,0.0149248656,,0.0309312432,0.2636726256,0.009949910400000001,0.0051912576,0.0028119312,0.0054075600000000005,0.0257399856
Sichuan,0.03484377,0.06076753488,0.01059250608,0.043763775120000015,0.027038765519999997,0.16390509408,0.05519253168,0.00947750544,0.009756255600000001,0.045993776400000005,0.021742512480000004,0.008083754640000001,0.16697134584,0.06522753744,,0.06494878727999999,0.04822377768,0.044600025599999996,0.006968754000000001,0.034565019839999996,0.43178399784,0.01839751056,0.06857253936,0.93771553824,0.03930377256,0.24223388904,0.01338000768,0.006132503520000001,0.026202515040000002,0.02676001536,0.049338778320000005
Guizhou,0.011713361400000002,0.02901309516,0.0027030834000000004,0.015137267040000001,0.004505139,0.20074899384,0.03748275648,0.0025228778400000003,0.0028832889600000004,0.01946220048,0.014776855919999997,0.0025228778400000003,0.01820076156,0.030995356319999997,0.24814305612,0.09136421892,0.020363228280000003,0.18777419352,0.00216246672,0.03658172868,0.33680419164000003,0.027211039560000004,0.00468534456,0.26994792888,0.16236520955999997,,0.0012614389200000002,0.0012614389200000002,0.0005406166799999999,0.0005406166799999999,0.01495706148
Yunnan,0.02682245664,0.039914370000000005,0.006545956679999999,0.030973551119999998,0.011335681079999998,0.13411228320000002,0.045183066839999994,0.00415109448,0.009100476359999998,0.03177183852,0.01883958264,0.007503901559999998,0.03161218104,0.034166700720000005,0.39020288111999996,0.053325598319999994,0.01740266532,0.06114881484,0.00542835432,0.025545196800000003,,0.02107478736,0.006386299200000001,0.08477812187999999,0.10824777144000002,0.34038974736,0.00383177952,0.0023948622,0.00271417716,0.0059073267600000005,0.03177183852
Tibet,0.00242294328,0.00916504632,0.00031603607999999996,0.00296722764,0.0016504106399999998,0.00310768812,0.00258096132,0.00021069072,0.00040382388,0.000438939,0.00215957988,0.00047405412,0.00874366488,0.0033008212799999995,0.06550725636,0.001316817,0.00066718728,0.0024580584,0.000438939,0.0006320721599999999,0.01127195352,0.0007023024,0.009410852159999998,0.00967421556,0.0006320721599999999,0.0008252053199999999,0.0012465867599999998,0.00021069072,0.0297600642,,0.0025458462
Shaanxi,0.08694476820000001,0.2841012144,0.01738895364,0.08425070495999999,0.35243245476,0.07641343008,0.09012866112,0.19789119072,0.0134703162,0.03894145956,0.04359484152,0.0110211678,,0.10163965859999999,0.19887085008,0.04849313831999999,0.023756739480000004,0.033553333080000004,0.006857615520000001,0.02277708012,0.02963469564,0.0195931872,0.32279775912,0.04726856412,0.020083016879999995,0.02179742076,0.02767537692,0.12221250515999998,0.02743046208,0.010776252959999998,0.06343294356000001
Gansu,0.018679390560000002,0.04221331200000001,0.006648596640000002,0.02015685648,0.012347393759999999,0.0226896552,0.027438652800000008,0.04485164400000001,0.003482598240000001,0.015935525280000005,0.00928692864,0.0022161988800000003,0.3252535689600001,0.016990858080000004,0.06986303136000001,0.01720192464,0.008442662400000002,0.008231595840000001,0.0021106656000000005,0.007070729760000002,0.006226463520000001,0.005698797120000002,,0.013930392960000005,0.005487730560000001,0.006965196480000002,0.04453504416,0.126639936,0.14035926240000005,0.003271531680000001,0.019418123520000004
Qinghai,0.004804168320000001,0.013678534799999998,0.00123440436,0.00537132708,0.00387002448,0.00563822532,0.006605731439999999,0.0032027788800000003,0.0010342306800000002,0.0024354464399999995,0.0030359674800000003,0.0008340569999999999,0.0301928634,0.005271240240000001,0.02628947664,0.00380329992,0.00223527276,0.00273570696,0.00053379648,0.0016013894400000001,0.0026356201200000004,0.0007673324400000001,0.15363329939999998,0.00453727008,0.00136785348,0.0010342306800000002,0.01578035844,0.00807367176,,0.01574699616,0.00507106656
Ningxia,0.012197180879999998,0.01654922664,0.00320677056,0.012197180879999998,0.01036474056,0.008589564000000001,0.01036474056,0.14419014768000002,0.00183244032,0.00435204576,0.0054973209600000005,0.0027486604800000002,0.11658901536,0.005325529680000001,0.008188717679999999,0.007215233759999998,0.004065726959999999,0.004180254479999999,0.0013743302400000001,0.00263413296,0.00337856184,0.0017751765599999996,0.14510636784000003,0.006928914959999999,0.00377940816,0.0030349792800000003,0.0054973209600000005,,0.009162201600000001,0.00028631880000000003,0.01093737816
Xinjiang,0.016324953839999996,0.05704074107999999,0.004540075919999999,0.02327996376,0.007872684839999998,0.016421551200000002,0.01700113536,0.010046125439999998,0.00357410232,0.009369943919999998,0.0067618151999999975,0.0026564274,0.04438648692,0.008452269,0.033422686560000005,0.011784877919999995,0.008452269,0.010094424119999995,0.00260812872,0.0053128548,0.005216257439999999,0.00328431024,0.09939868343999997,0.0178705116,0.0021734406,0.00227003796,,0.00874206108,0.021058224480000002,0.0023183366399999994,0.02038204296
Taiwan,9.70704e-05,,,0.00012931164,,0.00032379912,0.0001941408,3.224124e-05,,0.00048569867999999995,3.224124e-05,6.448248e-05,,,9.70704e-05,0.0007772565600000001,,,,0.0008420857199999998,,6.448248e-05,6.448248e-05,,,3.224124e-05,,,,,3.224124e-05
Hong Kong,2.95164e-05,2.95164e-05,2.95164e-05,0.00012692052,2.95164e-05,0.02701931256,2.95164e-05,,,0.00061394112,0.00012692052,2.95164e-05,2.95164e-05,,,,0.00015938856,2.95164e-05,,0.0007113452400000001,6.198444e-05,,,2.95164e-05,2.95164e-05,2.95164e-05,,,,,6.198444e-05
Macau,0.0017300336400000002,0.0011825546400000002,0.0011825546400000002,0.00129205044,0.001094958,0.1791351288,0.00435793284,0.00017519328000000002,0.00116065548,0.00637265556,0.0007007731200000001,0.00015329412000000006,0.00041608404,0.0022556134800000003,0.0008978655599999998,0.0033943698,0.00083216808,0.0022994117999999997,0.00035038656000000004,0.001642437,0.0006788739599999999,0.0011825546400000002,2.1899160000000006e-05,0.0003065882400000001,0.00205852104,0.000547479,,4.379832000000001e-05,,,0.0030001849199999997
