,Hebei,Shandong,Tianjin,Henan,Guangdong,Liaoning,Shanxi,Jiangsu,Inner Mongolia,Zhejiang,Sichuan,Heilongjiang,Shaanxi,Shanghai,Hainan,Hubei,Anhui,Hunan,Jilin,Yunnan,Fujian,Jiangxi,Chongqing,Gansu,Guangxi,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.03075794208,0.02816096544,0.010225595519999998,0.035383806719999994,0.16807308191999998,0.0206946576,0.016231104,0.03238105248,0.0109559952,0.02872905408,0.04804406784,0.0194773248,0.02402203392,0.029621764799999995,,0.021587368319999998,0.0178542144,0.033192607679999986,0.01241679456,0.015500704319999998,0.01874692512,0.01387759392,0.02929714272,0.00641128608,0.04195740383999999,0.016393415039999998,0.0034896873600000003,0.00438239808,0.0028404431999999994,0.00016231104,0.06865756992000001
Chongqing,0.024761457,0.041033271600000004,0.006603055200000001,0.04740050339999999,0.1396074528,0.012026993400000002,0.0193375188,0.060842437199999995,0.0075463488,0.0639081414,1.032906492,0.0056597616,0.052588618200000006,0.041033271600000004,0.034194393,0.156822561,0.025940573999999997,0.0693320796,0.0037731744,0.0830098368,0.0358451568,0.0219315762,,0.015328521,0.0360809802,0.2450205126,0.008253818999999999,0.0063672318,0.0044806446,0.004952291399999999,0.04716468
Sichuan,0.044903921400000005,0.05887403028,0.01297224396,0.07716822048,0.22817844504,0.02461400136,0.02860546104,0.08980784280000001,0.01230700068,0.09246881592,,0.015633217079999998,0.18127879379999998,0.05820878700000001,0.06253286831999999,0.06752219291999999,0.029603325960000003,0.05721092208,0.01263962232,0.45303067368,0.05454994895999999,0.029603325960000003,1.02680300268,0.08481851819999997,0.06286548995999999,0.25013147328,0.02561186628,0.00898078428,0.026942352840000003,0.04191032664,0.10111697856
Guizhou,0.01213238412,0.01828911636,0.00325944648,0.02915393796,0.18415872612,0.00561349116,0.007062134040000002,0.0461754918,0.00235404468,0.11082118032000003,0.26184220055999996,0.0012675625200000002,0.01865127708,0.0253512504,0.02227288428,0.02752421472,0.01213238412,0.17474254739999998,0.0019918839600000003,0.33047165700000003,0.03929443812,0.025170170040000002,0.25061521824,0.004164848279999999,0.15735883284000002,,0.00162972324,0.00162972324,0.0014486428800000002,0.0009054018,0.03005933976
Yunnan,0.022133334240000004,0.027746861039999998,0.005773913280000001,0.032398068960000005,0.15188599656000004,0.012670531920000002,0.00978357528,0.044106282,0.005773913280000001,0.06720193512000001,0.3945507408000001,0.005132367360000001,0.026142996239999997,0.044106282,0.013953623759999999,0.029671498800000005,0.015717875040000003,0.05565410856000001,0.006736232159999999,,0.02870917992,0.020850242400000003,0.08115555887999999,0.006255072720000001,0.11066667120000002,0.3267072597600001,0.0035285025600000006,0.0033681160799999997,0.00192463776,0.005453140320000001,0.04121932536
Tibet,0.0014230339199999998,0.003201826319999999,0.00038810015999999985,0.00494827704,0.0032341679999999995,0.0008408836799999997,0.0006791752799999997,0.0029107512,0.00025873343999999995,0.0017464507199999998,0.07029464147999999,0.00029107512,0.006597702719999999,0.0006468335999999999,0.00029107512,0.0020051841599999995,0.0012289838399999998,0.00190815912,0.00022639176,0.008117761679999998,0.0009379087199999998,0.0020051841599999995,0.007697319839999999,0.005562768959999999,0.00109961712,0.0014877172799999995,0.0010025920799999995,0.0005174668799999999,0.02558226888,,0.00443081016
Shaanxi,0.0684086634,0.07898287320000001,0.0101426094,0.2306904138,0.09926809199999999,0.021148419600000003,0.28528786440000004,0.09926809199999999,0.16638195420000002,0.05287104900000001,0.18753037379999998,0.0099268092,,0.033449031000000004,0.026543424600000004,0.08869388220000002,0.039275636400000015,0.0364702338,0.006905606400000001,0.026975025000000003,0.022659021,0.0179114166,0.0451022418,0.24255942480000006,0.015537614400000004,0.0185588172,0.019422018000000003,0.08373047759999999,0.0222274206,0.0025896024,0.0958152888
Gansu,0.017230089959999997,0.021260520359999997,0.004231951919999999,0.034460179919999986,0.029422141919999995,0.004231951919999999,0.011688248159999998,0.03264648624,0.039095174879999986,0.02226812796,0.09008011943999998,0.0015114113999999998,0.27920806596000003,0.015315635519999997,0.00816162156,0.015920200080000002,0.008766186119999998,0.008766186119999998,0.00191445444,0.00916922916,0.01088216208,0.006045645599999999,0.016222482360000002,,0.0065494494,0.007557056999999998,0.043226366039999985,0.10892238156,0.11446422335999998,0.0030228227999999995,0.033956376119999986
Qinghai,0.00484056,0.006622154999999999,0.0007395300000000001,0.012908159999999998,0.007294455,0.0013446,0.00309258,0.01028619,0.002319435,0.006017085,0.031362795,0.000571455,0.028740825,0.004000185,0.00376488,0.004101029999999999,0.0027228150000000004,0.0040338,0.000235305,0.0030589650000000003,0.002184975,0.001445445,0.004201875,0.13815765000000002,0.00154629,0.001781595,0.013009005,0.008437364999999999,,0.01593351,0.01082403
Ningxia,0.012665208600000002,0.011231411399999999,0.0017683498800000004,0.01199610324,0.01041892632,0.00210290256,0.007168986000000001,0.01304755452,0.1049061618,0.00965423448,0.011852723519999999,0.0017683498800000004,0.08937335880000001,0.00425359836,0.00554401584,0.005735188800000001,0.005639602320000001,0.00439697808,0.00090807156,0.0029631808799999997,0.0034889065200000005,0.0017683498800000004,0.006786640079999999,0.11245749372,0.0023896620000000003,0.0021506958000000005,0.00420580512,,0.0064998806400000005,0.00023896620000000006,0.01973860812
Xinjiang,0.015209894880000003,0.018032349600000004,0.0013589596800000002,0.04641369984000001,0.013694132160000002,0.0035019345600000003,0.006428924640000001,0.01865956176,0.010139929920000002,0.01113301584,0.07171125696000001,0.0016202980800000002,0.042441356160000006,0.0055403740799999995,0.0057494448000000005,0.009721788480000002,0.005853980160000001,0.0099308592,0.0020907072000000003,0.005435838720000001,0.00804922272,0.0023520456000000003,0.020436662880000005,0.12288131568000002,0.00256111632,0.002874722400000001,,0.007944687360000001,0.024618077280000004,0.0008362828800000001,0.024513541920000003
Taiwan,,0.00012948336,,3.237084e-05,0.00025896672,6.474168e-05,,0.00012948336,3.237084e-05,0.00016185420000000005,3.237084e-05,,,0.00055061856,,3.237084e-05,6.474168e-05,3.237084e-05,3.237084e-05,,0.0012634056000000002,,,,9.711252000000001e-05,3.237084e-05,,,,,
Hong Kong,3.090312e-05,3.090312e-05,,6.343272000000001e-05,0.01512951696,,,,,6.343272000000001e-05,3.090312e-05,,,0.00048469104000000004,,,,3.090312e-05,,6.343272000000001e-05,6.343272000000001e-05,,,,6.343272000000001e-05,,,,,,6.343272000000001e-05
Macau,0.00118165068,0.00053053704,0.0004823064,0.00057876768,0.2166761502,0.000602883,0.00057876768,0.00231507072,9.646128e-05,0.00226684008,0.0010851894000000002,0.0002411532,0.0003376144800000001,0.0022186094400000003,0.0004340757599999999,0.00171218772,0.00040996044,0.0010851894000000002,0.00014469192,0.0004340757599999999,0.00154338048,0.0010851894000000002,0.00040996044,4.823064e-05,0.00125399664,0.0009646128,,,,,0.0020498022000000004
