,Hebei,Shandong,Tianjin,Henan,Guangdong,Jiangsu,Shanxi,Liaoning,Inner Mongolia,Sichuan,Shanghai,Zhejiang,Shaanxi,Hubei,Heilongjiang,Anhui,Hainan,Hunan,Jilin,Fujian,Chongqing,Yunnan,Jiangxi,Guangxi,Gansu,Guizhou,Xinjiang,Ningxia,Qinghai,Tibet,Beijing
Hainan,0.02787736824,0.027526709520000005,0.01464000156,0.03585485412,0.17901127656000004,0.03787114176,0.015954971760000002,0.02156551128,0.009730779480000002,0.055228748400000006,0.035767189440000006,0.03655617156,0.02989365588,0.025773415919999997,0.020951858519999998,0.0140263488,,0.03716982432,0.01016910288,0.01823425344,0.03795880644,0.01867257684,0.01858491216,0.030857967360000006,0.00631185696,0.017971259399999998,0.0030682638,0.00315592848,0.00315592848,8.766468000000001e-05,0.08117749368
Chongqing,0.04076201556,0.05761848816,0.01164629016,0.08183051244,0.16549991280000004,0.08121754980000001,0.02390554296,0.016856472600000002,0.008274995640000001,1.3053039418800003,0.048424048560000016,0.08060458716,0.08091106847999999,0.199212858,0.010113883559999998,0.03892312764,0.04352034744,0.099606429,0.007662033,0.04229442216,,0.10205827956000002,0.030648132,0.0475046046,0.020534248440000003,0.31935353544,0.013485178080000002,0.005823145080000001,0.005823145080000001,0.007662033,0.0628286706
Sichuan,0.0519027588,0.06189884568,0.015763060080000002,0.08419780871999999,0.25605361008,0.0980385444,0.033832909439999996,0.025374682080000002,0.018454314240000002,,0.07766190576,0.11380160447999998,0.21722265719999997,0.07958423015999999,0.014225200559999998,0.0365241636,0.06459009984,0.06689688912000001,0.00999608688,0.06036098616000001,1.2322099403999998,0.4479015852,0.029988260639999997,0.06497456471999999,0.10072979856,0.31833692064,0.0269125416,0.011533946399999998,0.03229504992,0.05151829392,0.13571610263999995
Guizhou,0.013191880320000002,0.0203698152,0.00465595776,0.02541376944,0.21766602528000004,0.04985754768,0.00640194192,0.0067899384,0.00368596656,0.26364360816,0.029099736,0.12008491056,0.019787820480000003,0.034919683199999996,0.00310397184,0.01765383984,0.01862383104,0.18546231744,0.0021339806399999998,0.050633540639999995,0.27625349375999997,0.34104890592,0.025219771200000005,0.15810856560000006,0.00407396304,,0.0013579876800000005,0.00174598416,0.0013579876800000005,0.00155198592,0.031815711360000005
Yunnan,0.02036296584,0.027378777600000005,0.00718692912,0.037645819200000014,0.1659838392,0.047057274,0.011122628400000004,0.013004919360000002,0.005817990240000001,0.4173552410400001,0.04671503928000001,0.07255376063999999,0.0248120172,0.035250176160000014,0.00718692912,0.018994026960000004,0.01403162352,0.05783766767999999,0.005133520800000001,0.034052354640000004,0.08504532792000001,,0.02173190472,0.11670203952,0.007700281200000002,0.34497259776000005,0.003422347200000001,0.0017111736000000005,0.0017111736000000005,0.004962403440000001,0.050821855920000006
Tibet,0.00121773132,0.0021707384399999997,0.0005118001199999999,0.0065122153200000005,0.00427088376,0.00307080072,0.0014824555199999998,0.00109419336,0.00021177936,0.07168731335999999,0.00213544188,0.0025237040399999997,0.00730638792,0.0022942764,0.00038826216,0.00135891756,0.0006706346400000001,0.00222368328,0.00012353796000000002,0.00118243476,0.012494982240000002,0.009159457320000002,0.00090006228,0.001323621,0.00698871888,0.00199425564,0.00109419336,0.00060004152,0.02544881976,,0.00377673192
Shaanxi,0.08357714136000001,0.08304480287999999,0.014639308200000001,0.29358467172,0.10487068055999997,0.10886321915999997,0.32845284216,0.02076120072,0.21932345376,0.23183340804000002,0.04311941688,0.06707464848,,0.09954729575999999,0.01144527732,0.04445026308,0.027149262480000002,0.0385945398,0.007186569479999998,0.030875631839999994,0.0612189252,0.030343293359999995,0.0212935392,0.01490547744,0.33217921152,0.02076120072,0.02608458552,0.11338809624,0.03619901664,0.006121892519999999,0.13627865088
Gansu,0.0198010656,0.021430267200000002,0.007644715199999998,0.0370956672,0.029450952000000002,0.0327093552,0.014161521599999997,0.0053888976,0.055142208,0.09825338880000001,0.018171864,0.0248139936,0.3689515008,0.013785552,0.0023811408,0.009023270399999998,0.008897947199999999,0.010652472,0.0020051712,0.0110284416,0.019425096,0.0114044112,0.007770038399999998,0.00626616,,0.007143422399999998,0.047622816,0.15314495039999998,0.16830905759999998,0.0055142208,0.033962587200000005
Qinghai,0.0058162924800000005,0.0076119264,0.00113203008,0.0148334976,0.00905624064,0.01003212864,0.00402065856,0.00113203008,0.0035912678399999997,0.03848902272,0.003903552,0.005894363520000001,0.034273186559999995,0.00476233344,0.00066360384,0.00238116672,0.00245923776,0.00355223232,0.0005855328,0.00339609024,0.006440860800000001,0.00281055744,0.0028495929600000003,0.00320091264,0.15696182592000002,0.00327898368,0.01545806592,0.01003212864,,0.0179563392,0.01311593472
Ningxia,0.01246393008,0.01309984488,0.00216211032,0.01627941888,0.01309984488,0.01500758928,0.011446466399999999,0.00292520808,0.15102976499999998,0.01519836372,0.0044514036,0.013417802279999998,0.12012430572,0.00718583724,0.00362471436,0.00642273948,0.0032431654800000004,0.005150909880000001,0.0008266892399999999,0.006995062800000001,0.00813970944,0.00426062916,0.00216211032,0.00248006772,0.15306469236,0.0032431654800000004,0.00585041616,,0.009411539040000002,0.0004451403600000001,0.02168469468
Xinjiang,0.015686903880000002,0.017809554239999997,0.0020191064399999997,0.0551371374,0.016670571119999998,0.01744715052,0.006626810879999999,0.004555932479999999,0.00947426868,0.07103112912000001,0.00797288184,0.014237288999999997,0.0411587082,0.008749461239999999,0.00186379056,0.006626810879999999,0.0093189528,0.009733128479999995,0.00186379056,0.004504160519999999,0.018120186,0.00579845952,0.00196733448,0.00274391388,0.10136949767999998,0.00289922976,,0.008283513599999999,0.025989523919999997,0.0010354391999999998,0.02604129588
Taiwan,3.1959359999999995e-05,6.43626e-05,6.43626e-05,6.43626e-05,9.676584000000003e-05,9.676584000000003e-05,3.1959359999999995e-05,3.1959359999999995e-05,,,0.00178173432,0.00012916908000000006,,6.43626e-05,3.1959359999999995e-05,,,3.1959359999999995e-05,3.1959359999999995e-05,0.0014901051600000007,,,,3.1959359999999995e-05,3.1959359999999995e-05,,3.1959359999999995e-05,,,,9.676584000000003e-05
Hong Kong,,,,,0.017947795319999998,9.5742e-05,,,,,0.00022595112000000001,6.318972e-05,,,,,6.318972e-05,,,0.00016084655999999998,3.063744e-05,,6.318972e-05,6.318972e-05,,,,,,,0.0002585034
Macau,0.0015371467199999998,0.0011482300799999998,0.0006667142399999999,0.0008889523199999998,0.15382579104,0.0034817299199999987,0.0004444761599999999,0.0007407936,0.00011111903999999998,0.00144454752,0.00307429344,0.00364840848,0.00040743648,0.00205570224,0.00022223808,0.00061115472,0.00048151584,0.0017964244799999996,0.00024075792,0.00205570224,0.0003703968,0.0004444761599999999,0.00096303168,0.0015741864000000001,,0.0005741150399999999,,9.25992e-05,,,0.00190754352
