date,name,cumCase
2020-09-24,West Midlands,39587
2020-09-24,Yorkshire and The Humber,45638
2020-09-25,East Midlands,31557
2020-09-25,East of England,30132
2020-09-25,London,47484
2020-09-25,North East,23059
2020-09-25,North West,76203
2020-09-25,South East,42146
2020-09-25,South West,17173
2020-09-25,West Midlands,40159
2020-09-25,Yorkshire and The Humber,46400
2020-09-26,East Midlands,31852
2020-09-26,East of England,30308
2020-09-26,London,47845
2020-09-26,North East,23581
2020-09-26,North West,77849
2020-09-26,South East,42319
2020-09-26,South West,17314
2020-09-26,West Midlands,40700
2020-09-26,Yorkshire and The Humber,47082
2020-09-27,East Midlands,32105
2020-09-27,East of England,30502
2020-09-27,London,48432
2020-09-27,North East,24064
2020-09-27,North West,79417
2020-09-27,South East,42594
2020-09-27,South West,17479
2020-09-27,West Midlands,41269
2020-09-27,Yorkshire and The Humber,47718
2020-09-28,East Midlands,32327
2020-09-28,East of England,30652
2020-09-28,London,48829
2020-09-28,North East,24341
2020-09-28,North West,80555
2020-09-28,South East,42745
2020-09-28,South West,17566
2020-09-28,West Midlands,41596
2020-09-28,Yorkshire and The Humber,48243
2020-09-29,East Midlands,32676
2020-09-29,East of England,30875
2020-09-29,London,49333
2020-09-29,North East,25097
2020-09-29,North West,82371
2020-09-29,South East,43058
2020-09-29,South West,17748
2020-09-29,West Midlands,42210
2020-09-29,Yorkshire and The Humber,49072
2020-09-30,East Midlands,32991
2020-09-30,East of England,31051
2020-09-30,London,49721
2020-09-30,North East,25690
2020-09-30,North West,84650
2020-09-30,South East,43283
2020-09-30,South West,17884
2020-09-30,West Midlands,42638
2020-09-30,Yorkshire and The Humber,50131
2020-10-01,East Midlands,33419
2020-10-01,East of England,31326
2020-10-01,London,50272
2020-10-01,North East,26053
2020-10-01,North West,86681
2020-10-01,South East,43551
2020-10-01,South West,18053
2020-10-01,West Midlands,43244
2020-10-01,Yorkshire and The Humber,50954
2020-10-02,East Midlands,33808
2020-10-02,East of England,31551
2020-10-02,London,50769
2020-10-02,North East,26474
2020-10-02,North West,88284
2020-10-02,South East,43823
2020-10-02,South West,18246
2020-10-02,West Midlands,43652
2020-10-02,Yorkshire and The Humber,51672
2020-10-03,East Midlands,34608
2020-10-03,East of England,31933
2020-10-03,London,51839
2020-10-03,North East,27380
2020-10-03,North West,91823
2020-10-03,South East,44375
2020-10-03,South West,18635
2020-10-03,West Midlands,44691
2020-10-03,Yorkshire and The Humber,53431
2020-10-04,East Midlands,36543
2020-10-04,East of England,32760
2020-10-04,London,53804
2020-10-04,North East,30009
2020-10-04,North West,98565
