date,name,Deaths
2020-08-30,East Midlands,3480
2020-08-30,East of England,4777
2020-08-30,London,7007
2020-08-30,North East,2504
2020-08-30,North West,7262
2020-08-30,South East,5914
2020-08-30,South West,2205
2020-08-30,West Midlands,5369
2020-08-30,Yorkshire and The Humber,4206
2020-08-31,East Midlands,3480
2020-08-31,East of England,4778
2020-08-31,London,7008
2020-08-31,North East,2504
2020-08-31,North West,7262
2020-08-31,South East,5914
2020-08-31,South West,2204
2020-08-31,West Midlands,5369
2020-08-31,Yorkshire and The Humber,4207
2020-09-01,East Midlands,3480
2020-09-01,East of England,4778
2020-09-01,London,7008
2020-09-01,North East,2504
2020-09-01,North West,7265
2020-09-01,South East,5915
2020-09-01,South West,2204
2020-09-01,West Midlands,5370
2020-09-01,Yorkshire and The Humber,4207
2020-09-02,East Midlands,3486
2020-09-02,East of England,4788
2020-09-02,London,7014
2020-09-02,North East,2510
2020-09-02,North West,7278
2020-09-02,South East,5943
2020-09-02,South West,2213
2020-09-02,West Midlands,5384
2020-09-02,Yorkshire and The Humber,4217
2020-09-03,East Midlands,3492
2020-09-03,East of England,4798
2020-09-03,London,7017
2020-09-03,North East,2511
2020-09-03,North West,7290
2020-09-03,South East,5948
2020-09-03,South West,2216
2020-09-03,West Midlands,5391
2020-09-03,Yorkshire and The Humber,4222
2020-09-04,East Midlands,3507
2020-09-04,East of England,4811
2020-09-04,London,7026
2020-09-04,North East,2517
2020-09-04,North West,7303
2020-09-04,South East,5965
2020-09-04,South West,2221
2020-09-04,West Midlands,5400
2020-09-04,Yorkshire and The Humber,4231
2020-09-05,East Midlands,3511
2020-09-05,East of England,4824
2020-09-05,London,7031
2020-09-05,North East,2520
2020-09-05,North West,7316
2020-09-05,South East,5980
2020-09-05,South West,2227
2020-09-05,West Midlands,5409
2020-09-05,Yorkshire and The Humber,4236
2020-09-06,East Midlands,3511
2020-09-06,East of England,4825
2020-09-06,London,7035
2020-09-06,North East,2520
2020-09-06,North West,7316
2020-09-06,South East,5981
2020-09-06,South West,2227
2020-09-06,West Midlands,5411
2020-09-06,Yorkshire and The Humber,4238
2020-09-07,East Midlands,3511
2020-09-07,East of England,4826
2020-09-07,London,7035
2020-09-07,North East,2520
2020-09-07,North West,7320
2020-09-07,South East,5981
2020-09-07,South West,2229
2020-09-07,West Midlands,5411
2020-09-07,Yorkshire and The Humber,4238
2020-09-08,East Midlands,3518
2020-09-08,East of England,4832
2020-09-08,London,7040
2020-09-08,North East,2529
2020-09-08,North West,7345
2020-09-08,South East,5994
2020-09-08,South West,2240
2020-09-08,West Midlands,5425
2020-09-08,Yorkshire and The Humber,4250
2020-09-09,East Midlands,3522
2020-09-09,East of England,4843
2020-09-09,London,7047
2020-09-09,North East,2533
2020-09-09,North West,7357
2020-09-09,South East,6001
2020-09-09,South West,2243
2020-09-09,West Midlands,5430
2020-09-09,Yorkshire and The Humber,4252
2020-09-10,East Midlands,3533
2020-09-10,East of England,4859
2020-09-10,London,7058
2020-09-10,North East,2539
2020-09-10,North West,7393
2020-09-10,South East,6015
2020-09-10,South West,2247
2020-09-10,West Midlands,5439
2020-09-10,Yorkshire and The Humber,4269
2020-09-11,East Midlands,3537
2020-09-11,East of England,4864
2020-09-11,London,7060
2020-09-11,North East,2539
2020-09-11,North West,7408
2020-09-11,South East,6021
2020-09-11,South West,2249
2020-09-11,West Midlands,5444
2020-09-11,Yorkshire and The Humber,4273
2020-09-12,East Midlands,3542
2020-09-12,East of England,4869
2020-09-12,London,7065
2020-09-12,North East,2543
2020-09-12,North West,7415
2020-09-12,South East,6025
2020-09-12,South West,2251
2020-09-12,West Midlands,5447
2020-09-12,Yorkshire and The Humber,4284
2020-09-13,East Midlands,3544
2020-09-13,East of England,4869
2020-09-13,London,7066
2020-09-13,North East,2544
2020-09-13,North West,7417
2020-09-13,South East,6025
2020-09-13,South West,2250
2020-09-13,West Midlands,5448
2020-09-13,Yorkshire and The Humber,4286
2020-09-14,East Midlands,3545
2020-09-14,East of England,4869
2020-09-14,London,7066
2020-09-14,North East,2544
2020-09-14,North West,7420
2020-09-14,South East,6025
2020-09-14,South West,2252
2020-09-14,West Midlands,5448
2020-09-14,Yorkshire and The Humber,4288
2020-09-15,East Midlands,3552
2020-09-15,East of England,4879
2020-09-15,London,7069
2020-09-15,North East,2550
2020-09-15,North West,7432
2020-09-15,South East,6037
2020-09-15,South West,2254
2020-09-15,West Midlands,5462
2020-09-15,Yorkshire and The Humber,4307
2020-09-16,East Midlands,3563
2020-09-16,East of England,4888
2020-09-16,London,7071
2020-09-16,North East,2554
2020-09-16,North West,7444
2020-09-16,South East,6047
2020-09-16,South West,2259
2020-09-16,West Midlands,5465
2020-09-16,Yorkshire and The Humber,4314
2020-09-17,East Midlands,3570
2020-09-17,East of England,4899
2020-09-17,London,7076
2020-09-17,North East,2560
2020-09-17,North West,7456
2020-09-17,South East,6054
2020-09-17,South West,2262
2020-09-17,West Midlands,5472
2020-09-17,Yorkshire and The Humber,4320
2020-09-18,East Midlands,3576
2020-09-18,East of England,4909
2020-09-18,London,7085
2020-09-18,North East,2567
2020-09-18,North West,7483
2020-09-18,South East,6073
2020-09-18,South West,2263
2020-09-18,West Midlands,5493
2020-09-18,Yorkshire and The Humber,4334
2020-09-19,East Midlands,3580
2020-09-19,East of England,4913
2020-09-19,London,7095
2020-09-19,North East,2574
2020-09-19,North West,7502
2020-09-19,South East,6081
2020-09-19,South West,2269
2020-09-19,West Midlands,5494
2020-09-19,Yorkshire and The Humber,4338
2020-09-20,East Midlands,3581
2020-09-20,East of England,4916
2020-09-20,London,7098
2020-09-20,North East,2577
2020-09-20,North West,7509
2020-09-20,South East,6082
2020-09-20,South West,2269
2020-09-20,West Midlands,5503
2020-09-20,Yorkshire and The Humber,4344
2020-09-21,East Midlands,3581
2020-09-21,East of England,4914
2020-09-21,London,7101
2020-09-21,North East,2578
2020-09-21,North West,7511
2020-09-21,South East,6081
2020-09-21,South West,2271
2020-09-21,West Midlands,5501
2020-09-21,Yorkshire and The Humber,4347
2020-09-22,East Midlands,3585
2020-09-22,East of England,4930
2020-09-22,London,7107
2020-09-22,North East,2585
2020-09-22,North West,7527
2020-09-22,South East,6094
2020-09-22,South West,2273
2020-09-22,West Midlands,5523
2020-09-22,Yorkshire and The Humber,4357
2020-09-23,East Midlands,3596
2020-09-23,East of England,4937
2020-09-23,London,7117
2020-09-23,North East,2592
2020-09-23,North West,7538
2020-09-23,South East,6102
2020-09-23,South West,2278
2020-09-23,West Midlands,5532
2020-09-23,Yorkshire and The Humber,4370
2020-09-24,East Midlands,3603
2020-09-24,East of England,4941
2020-09-24,London,7131
2020-09-24,North East,2601
2020-09-24,North West,7568
2020-09-24,South East,6109
2020-09-24,South West,2280
2020-09-24,West Midlands,5540
