日期,地区,新增确诊,新增治愈,新增死亡,累计确诊,累计治愈,累计死亡,迁入指数,迁出指数,温度,湿度,aqi,医疗救治医院,发热门诊,人口
20200124,呼和浩特,0,0,0,0,0,0,0.88695,1.9206396,-8.74,70.83,222.83,18.0,17.0,286.66
20200124,沈阳,1.0,0,0,3.0,0,0,1.7371908,5.1006348,-9.17,48.83,58.17,22.0,21.0,810.62
20200124,长春,0,0,0,1.0,0,0,1.5344316,3.3198012,-15.83,62.35,69.74,22.0,14.0,767.71
20200124,哈尔滨,5.0,0,0,6.0,0,0,1.8440784,2.8496124,-18.21,55.38,62.17,63.0,63.0,1063.6
20200124,上海,13.0,1.0,0,33.0,1.0,0,2.867886,17.0179056,8.39,87.48,60.17,115.0,115.0,2301.91
20200124,南京,1.0,0,0,4.0,0,0,2.1876804,8.2345572,7.17,81.22,66.52,50.0,50.0,800.47
20200124,杭州,6.0,0,0,12.0,0,0,2.2625244,7.5097368,7.35,94.83,42.48,48.0,46.0,870.04
20200124,合肥,4.0,0,0,10.0,0,0,2.94759,5.8359204,5.75,92.04,64.75,29.0,28.0,570.2
20200124,福州,2.0,0,0,5.0,0,0,1.2835584,2.7848448,13.7,96.52,27.48,202.0,199.0,711.54
20200124,南昌,1.0,0,0,3.0,0,0,1.549692,2.722896,7.39,97.26,39.13,26.0,25.0,504.26
20200124,济南,2.0,0,0,2.0,0,0,1.6209072,5.319918,3.0,60.46,165.79,55.0,55.0,681.4
20200124,郑州,3.0,0,0,8.0,0,0,2.5768368,9.9839304,3.5,67.92,287.21,62.0,60.0,862.65
20200124,长沙,0,0,0,8.0,0,0,2.898666,7.2508608,6.92,93.79,40.46,46.0,46.0,704.41
20200124,广州,7.0,0,0,14.0,0,0,3.7542528,13.2808896,21.62,80.29,32.54,115.0,113.0,1270.08
20200124,南宁,0,0,0,0,0,0,2.2338504,4.44609,18.58,98.08,51.08,13.0,13.0,666.16
20200124,海口,0,0,0,3.0,0,0,1.0349532,3.33801,22.96,81.57,19.3,27.0,27.0,204.62
20200124,重庆,30.0,0,0,57.0,0,0,6.7352472,7.62858,9.54,84.37,77.79,141.0,129.0,2884.62
20200124,成都,9.0,0,0,16.0,0,0,5.1954048,18.7029324,7.96,82.5,86.63,313.0,309.0,1404.76
20200124,贵阳,0,0,0,1.0,0,0,1.6333488,4.7854152,3.65,95.91,20.7,35.0,29.0,432.46
20200124,昆明,1.0,0,0,3.0,0,0,2.3642928,6.4278036,10.48,49.39,35.39,49.0,48.0,643.2
20200124,拉萨,0,0,0,0,0,0,0.2871936,0.4453704,-3.21,13.75,27.04,2.0,0,55.94
20200124,西安,2.0,0,0,4.0,0,0,3.3263784,11.059254,4.39,82.48,269.39,86.0,82.0,846.78
20200124,兰州,1.0,0,0,2.0,0,0,0.9720324,2.3611824,-0.74,61.74,53.09,12.0,0,361.62
20200124,西宁,0,0,0,0,0,0,0.6878844,1.3231512,-5.29,68.21,63.08,12.0,11.0,220.87
20200124,银川,0,0,0,1.0,0,0,0.94851,2.4040476,-2.79,55.29,91.0,23.0,23.0,199.31
20200124,乌鲁木齐,1.0,0,0,3.0,0,0,1.184868,3.1851468,-8.25,67.96,217.42,41.0,41.0,311.03
20200125,北京,13.0,1.0,0,54.0,2.0,0,2.5494264,8.116686,-1.96,62.17,182.92,106.0,101.0,1961.2
20200125,天津,2.0,0,0,10.0,0,0,1.258092,2.5204932,0.75,68.12,89.83,47.0,47.0,1293.82
20200125,石家庄,1.0,0,0,5.0,0,0,1.1462796,1.502712,-0.21,70.33,213.0,55.0,55.0,1016.38
20200125,太原,0,0,0,2.0,0,0,0.7188264,1.819584,-1.96,74.29,266.12,34.0,34.0,420.16
20200125,呼和浩特,0,0,0,0,0,0,0.5855004,0.9936108,-7.5,66.04,330.92,18.0,17.0,286.66
20200125,沈阳,2.0,0,0,5.0,0,0,1.4414112,2.92329,-8.71,54.17,303.92,22.0,21.0,810.62
20200125,长春,0,0,0,1.0,0,0,1.2271824,1.8922572,-12.04,59.46,246.37,22.0,14.0,767.71
20200125,哈尔滨,2.0,0,0,8.0,0,0,1.2931164,1.604448,-20.52,68.13,162.26,63.0,63.0,1063.6
20200125,上海,7.0,0,1.0,40.0,1.0,1.0,1.9504476,7.4295144,7.13,95.67,28.42,115.0,115.0,2301.91
20200125,南京,3.0,0,0,7.0,0,0,1.629234,4.159674,5.13,88.33,40.08,50.0,50.0,800.47
20200125,杭州,15.0,0,0,27.0,0,0,1.6061004,3.74058,6.22,94.39,38.39,48.0,46.0,870.04
20200125,合肥,3.0,0,0,13.0,0,0,1.9902996,3.1826196,4.29,86.92,36.67,29.0,28.0,570.2
20200125,福州,1.0,0,0,6.0,0,0,0.6759612,1.3113576,13.83,91.58,54.79,202.0,199.0,711.54
20200125,南昌,1.0,0,0,4.0,0,0,0.9278064,1.4418648,5.79,95.29,58.96,26.0,25.0,504.26
20200125,济南,1.0,0,0,3.0,0,0,1.0996236,2.3333832,3.29,52.67,91.46,55.0,55.0,681.4
20200125,郑州,12.0,0,0,20.0,0,0,2.2918788,4.3567308,3.33,60.54,109.67,62.0,60.0,862.65
20200125,长沙,10.0,0,0,18.0,0,0,1.9891008,4.0994748,4.63,92.37,68.96,46.0,46.0,704.41
20200125,广州,0,0,0,14.0,0,0,2.4629508,6.621102,17.12,80.88,43.54,115.0,113.0,1270.08
20200125,南宁,1.0,0,0,1.0,0,0,1.3188744,1.852794,10.21,99.46,18.92,13.0,13.0,666.16
20200125,海口,0,0,0,3.0,0,0,0.8504028,1.2821976,21.83,86.42,25.42,27.0,27.0,204.62
20200125,重庆,18.0,0,0,75.0,0,0,4.3753608,4.7465352,8.08,91.29,51.79,141.0,129.0,2884.62
20200125,成都,6.0,0,0,22.0,0,0,3.746088,9.8588016,7.37,70.71,69.17,313.0,309.0,1404.76
20200125,贵阳,0,0,0,1.0,0,0,1.1290752,2.0289204,0.25,98.5,24.54,35.0,29.0,432.46
20200125,昆明,1.0,0,0,4.0,0,0,1.5901272,2.8757592,3.58,82.38,30.12,49.0,48.0,643.2
20200125,拉萨,0,0,0,0,0,0,0.2101464,0.320922,-4.67,16.42,25.0,2.0,0,55.94
20200125,西安,4.0,0,0,8.0,0,0,2.368926,5.1815376,2.88,95.38,273.5,86.0,82.0,846.78
20200125,兰州,2.0,0,0,4.0,0,0,0.681534,1.2964536,-3.0,64.92,102.75,12.0,0,361.62
20200125,西宁,1.0,0,0,1.0,0,0,0.5974236,0.905418,-6.79,64.33,93.08,12.0,11.0,220.87
20200125,银川,1.0,0,0,2.0,0,0,0.794934,1.4288724,-2.0,64.75,106.79,23.0,23.0,199.31
20200125,乌鲁木齐,0,0,0,3.0,0,0,0.9199332,2.0524752,-8.04,67.96,158.17,41.0,41.0,311.03
20200126,北京,18.0,0,0,72.0,2.0,0,5.0771772,5.303232,-2.09,66.65,191.09,106.0,101.0,1961.2
20200126,天津,4.0,0,0,14.0,0,0,2.2196916,2.0054952,0.62,76.58,260.63,47.0,47.0,1293.82
20200126,石家庄,2.0,0,0,7.0,0,0,2.0124612,1.4131908,0.04,71.35,256.17,55.0,55.0,1016.38
20200126,太原,0,0,0,2.0,0,0,1.2969072,1.7637912,0.43,49.52,130.87,34.0,34.0,420.16
20200126,呼和浩特,0,0,0,0,0,0,0.8785908,1.0409472,-4.87,52.7,205.83,18.0,17.0,286.66
